name,link,rating,ico_profile,team,vision,product,date
playbets,https://icobench.com/ico/playbets/,4.2,4.3,4.5,4.0,4.0,2018-04-01 - 2018-04-30
pundi-x,https://icobench.com/ico/pundi-x/,3.9,4.3,3.0,4.0,3.8,
repu,https://icobench.com/ico/repu/,4.3,4.3,4.0,5.0,3.8,
retn,https://icobench.com/ico/retn/,3.9,4.3,3.7,4.0,3.3,2017-12-07 - 2018-03-31
rxeal,https://icobench.com/ico/rxeal/,4.1,4.3,4.0,3.0,3.0,2018-01-15 - 2018-02-05
skrilla,https://icobench.com/ico/skrilla/,3.7,4.3,3.0,3.0,3.0,
solve-care,https://icobench.com/ico/solve-care/,4.0,4.4,3.7,3.8,3.1,2018-02-21 - 2018-05-19
streamity,https://icobench.com/ico/streamity/,4.0,4.3,4.4,3.3,2.8,2018-01-22 - 2018-01-28
teky,https://icobench.com/ico/teky/,2.9,4.3,2.8,1.7,1.7,
trustabit,https://icobench.com/ico/trustabit/,4.3,4.3,0,0,0,2018-02-05 - 2018-02-12
vinnd-io,https://icobench.com/ico/vinnd-io/,3.5,4.3,3.1,3.5,2.5,2018-01-18 - 2018-02-18
baikalika,https://icobench.com/ico/baikalika/,3.5,4.1,2.7,2.8,2.8,2018-02-12 - 2018-03-19
bitcomo,https://icobench.com/ico/bitcomo/,3.8,4.1,3.0,3.0,3.0,2017-12-01 - 2018-02-16
bitrace,https://icobench.com/ico/bitrace/,3.8,4.1,2.0,3.0,3.0,2018-01-25 - 2018-02-25
blockhive,https://icobench.com/ico/blockhive/,4.0,4.1,4.6,4.0,3.0,2018-01-26 - 2018-02-09
blockmesh,https://icobench.com/ico/blockmesh/,4.0,4.1,4.6,4.3,2.7,2018-02-28 - 2018-03-31
cappasity,https://icobench.com/ico/cappasity/,4.1,4.1,4.1,4.3,4.0,2018-03-22 - 2018-04-19
carex,https://icobench.com/ico/carex/,4.3,4.1,5.0,5.0,3.8,2017-12-11 - 2018-03-11
credits,https://icobench.com/ico/credits/,3.5,4.1,3.6,3.7,2.7,2018-02-01 - 2018-02-28
datarius,https://icobench.com/ico/datarius/,4.1,4.1,4.4,4.0,4.0,
edgecoin,https://icobench.com/ico/edgecoin/,3.3,4.1,2.4,3.9,2.4,
ellcrys,https://icobench.com/ico/ellcrys/,3.9,4.1,4.3,3.2,3.5,2018-02-01 - 2018-03-01
energi-token,https://icobench.com/ico/energi-token/,4.2,4.1,4.3,4.3,4.3,2017-11-17 - 2018-01-31
ewaiter,https://icobench.com/ico/ewaiter/,4.2,4.1,3.0,5.0,5.0,2017-12-25 - 2018-01-25
